"posteam","receiver_player_id","short_name","receptions","targets","red_zone_targets","team_targets","display_name","player","target_share","rank"
"GB","00-0038090","S.Moore",2,4,1,69,"Skyy Moore","Skyy Moore",0.0579710144927536,183
"CLE","00-0038710","B.Whiteheart",2,3,1,52,"Blake Whiteheart","Blake Whiteheart",0.0576923076923077,184
"HOU","00-0035685","D.Montgomery",5,5,1,87,"David Montgomery","David Montgomery",0.0574712643678161,185
"LAC","00-0041550","B.Thompson",1,3,0,53,"Brenen Thompson","Brenen Thompson",0.0566037735849057,186
"LAC","00-0038046","C.Kolar",3,3,0,53,"Charlie Kolar","Charlie Kolar",0.0566037735849057,187
"BAL","00-0040870","J.Lane",1,3,2,53,"Ja'Kobi Lane","Ja'Kobi Lane",0.0566037735849057,188
"BAL","00-0034975","J.Hill",3,3,0,53,"Justice Hill","Justice Hill",0.0566037735849057,189
"PIT","00-0038558","D.Washington",3,4,0,74,"Darnell Washington","Darnell Washington",0.0540540540540541,190
"DEN","00-0036422","A.Trautman",2,3,0,56,"Adam Trautman","Adam Trautman",0.0535714285714286,191
"PHI","00-0040024","D.Cooper",2,3,1,56,"Darius Cooper","Darius Cooper",0.0535714285714286,192
"BUF","00-0035689","D.Knox",3,3,1,56,"Dawson Knox","Dawson Knox",0.0535714285714286,193
"PHI","00-0033246","J.Mundt",2,3,0,56,"Johnny Mundt","Johnny Mundt",0.0535714285714286,194
"DEN","00-0041496","J.Coleman",3,3,0,56,"Jonah Coleman","Jonah Coleman",0.0535714285714286,195
"DEN","00-0038783","N.Adkins",3,3,1,56,"Nate Adkins","Nate Adkins",0.0535714285714286,196
"CHI","00-0041558","S.Roush",1,3,1,56,"Sam Roush","Sam Roush",0.0535714285714286,197
"DEN","00-0039868","T.Franklin",1,3,1,56,"Troy Franklin","Troy Franklin",0.0535714285714286,198
"DEN","00-0037085","T.Badie",2,3,1,56,"Tyler Badie","Tyler Badie",0.0535714285714286,199
"PHI","00-0039746","W.Shipley",3,3,0,56,"Will Shipley","Will Shipley",0.0535714285714286,200
"LA","00-0040590","K.Mumpfield",1,3,0,57,"Konata Mumpfield","Konata Mumpfield",0.0526315789473684,201
"LV","00-0035891","C.White",2,3,2,58,"Cody White","Cody White",0.0517241379310345,202
"LV","00-0040894","M.Benson",1,3,0,58,"Malik Benson","Malik Benson",0.0517241379310345,203
"NYJ","00-0037805","J.Ruckert",3,3,1,59,"Jeremy Ruckert","Jeremy Ruckert",0.0508474576271186,204
"NYJ","00-0040736","M.Taylor",2,3,0,59,"Mason Taylor","Mason Taylor",0.0508474576271186,205
"WAS","00-0037809","C.Okonkwo",2,3,0,63,"Chig Okonkwo","Chig Okonkwo",0.0476190476190476,206
"WAS","00-0036628","J.Bates",2,3,1,63,"John Bates","John Bates",0.0476190476190476,207
"MIN","00-0036425","D.Dallas",2,2,0,42,"DeeJay Dallas","DeeJay Dallas",0.0476190476190476,208
"CIN","00-0035631","D.Sample",3,3,1,65,"Drew Sample","Drew Sample",0.0461538461538462,209
"CIN","00-0039814","E.All",2,3,0,65,"Erick All","Erick All",0.0461538461538462,210
"HOU","00-0034981","F.Moreau",4,4,0,87,"Foster Moreau","Foster Moreau",0.0459770114942529,211
"CAR","00-0039344","J.Brooks",2,3,1,66,"Jonathon Brooks","Jonathon Brooks",0.0454545454545455,212
"CAR","00-0040187","M.Evans",2,3,2,66,"Mitchell Evans","Mitchell Evans",0.0454545454545455,213
"TEN","00-0034837","C.Ridley",2,2,0,45,"Calvin Ridley","Calvin Ridley",0.0444444444444444,214
"TEN","00-0038115","D.Bellinger",1,2,0,45,"Daniel Bellinger","Daniel Bellinger",0.0444444444444444,215
"GB","00-0038685","C.Brooks",1,3,0,69,"Chris Brooks","Chris Brooks",0.0434782608695652,216
"GB","00-0033858","J.Smith",2,3,0,69,"Jonnu Smith","Jonnu Smith",0.0434782608695652,217
"GB","00-0039811","M.Lloyd",2,3,2,69,"MarShawn Lloyd","MarShawn Lloyd",0.0434782608695652,218
"JAX","00-0032104","A.Abdullah",2,2,0,49,"Ameer Abdullah","Ameer Abdullah",0.0408163265306122,219
"JAX","00-0041100","J.Cameron",2,2,1,49,"Josh Cameron","Josh Cameron",0.0408163265306122,220
"JAX","00-0036590","Q.Morris",1,2,0,49,"Quintin Morris","Quintin Morris",0.0408163265306122,221
"PIT","00-0036252","M.Pittman",3,3,0,74,"Michael Pittman","Michael Pittman",0.0405405405405405,222
"SEA","00-0038488","B.Russell",2,2,0,50,"Brady Russell","Brady Russell",0.04,223
"ATL","00-0037746","Br.Robinson",2,2,0,50,"Brian Robinson","Brian Robinson",0.04,224
"SEA","00-0039299","G.Holani",1,2,1,50,"George Holani","George Holani",0.04,225
"MIA","00-0041529","K.Coleman",0,2,0,50,"Kevin Coleman Jr.","Kevin Coleman Jr.",0.04,226
"MIA","00-0041524","W.Kacmarek",1,2,0,50,"Will Kacmarek","Will Kacmarek",0.04,227
"ATL","00-0041044","Z.Branch",2,2,0,50,"Zachariah Branch","Zachariah Branch",0.04,228
"NE","00-0041395","E.Raridon",2,2,1,52,"Eli Raridon","Eli Raridon",0.0384615384615385,229
"NE","00-0040131","K.Williams",1,2,0,52,"Kyle Williams","Kyle Williams",0.0384615384615385,230
"NE","00-0040568","L.Larison",2,2,0,52,"Lan Larison","Lan Larison",0.0384615384615385,231
"NE","00-0036187","R.Gilliam",1,2,0,52,"Reggie Gilliam","Reggie Gilliam",0.0384615384615385,232
"LAC","00-0038573","D.Davis",0,2,0,53,"Derius Davis","Derius Davis",0.0377358490566038,233
"BAL","00-0039792","D.Walker",1,2,0,53,"Devontez Walker","Devontez Walker",0.0377358490566038,234
"BAL","00-0034798","D.Smythe",1,2,1,53,"Durham Smythe","Durham Smythe",0.0377358490566038,235
"LAC","00-0040666","O.Hampton",2,2,0,53,"Omarion Hampton","Omarion Hampton",0.0377358490566038,236
"SF","00-0029892","K.Juszczyk",2,2,1,55,"Kyle Juszczyk","Kyle Juszczyk",0.0363636363636364,237
"SF","00-0036887","L.Farrell",2,2,0,55,"Luke Farrell","Luke Farrell",0.0363636363636364,238
"PHI","00-0038555","T.Bigsby",2,2,0,56,"Tank Bigsby","Tank Bigsby",0.0357142857142857,239
"LA","00-0039074","D.Allen",2,2,0,57,"Davis Allen","Davis Allen",0.0350877192982456,240
"LA","00-0036849","T.Atwell",1,2,0,57,"Tutu Atwell","Tutu Atwell",0.0350877192982456,241
"LA","00-0033110","T.Higbee",2,2,0,57,"Tyler Higbee","Tyler Higbee",0.0350877192982456,242
"IND","00-0037292","A.Ogletree",0,2,0,59,"Andrew Ogletree","Andrew Ogletree",0.0338983050847458,243
"NYJ","00-0039794","B.Allen",1,2,2,59,"Braelon Allen","Braelon Allen",0.0338983050847458,244
"DAL","00-0039530","B.Spann-Ford",2,2,0,61,"Brevyn Spann-Ford","Brevyn Spann-Ford",0.0327868852459016,245
"WAS","00-0040242","J.Croskey-Merritt",2,2,0,63,"Jacory Croskey-Merritt","Jacory Croskey-Merritt",0.0317460317460317,246
"CIN","00-0040785","D.Meyers",1,2,0,65,"Dohnte Meyers","Dohnte Meyers",0.0307692307692308,247
"KC","00-0040646","J.Royals",2,2,1,68,"Jalen Royals","Jalen Royals",0.0294117647058824,248
"KC","00-0036637","N.Gray",1,2,0,68,"Noah Gray","Noah Gray",0.0294117647058824,249
"GB","00-0037091","B.Melton",1,2,0,69,"Bo Melton","Bo Melton",0.0289855072463768,250
"DET","00-0039364","S.Vaki",2,2,0,77,"Sione Vaki","Sione Vaki",0.025974025974026,251
"NO","00-0041326","C.Donaldson",1,2,0,84,"CJ Donaldson","CJ Donaldson",0.0238095238095238,252
"MIN","00-0033293","A.Jones",0,1,0,42,"Aaron Jones","Aaron Jones",0.0238095238095238,253
"MIN","00-0041104","D.Claiborne",1,1,0,42,"Demond Claiborne","Demond Claiborne",0.0238095238095238,254
"MIN","00-0036259","J.Jennings",0,1,0,42,"Jauan Jennings","Jauan Jennings",0.0238095238095238,255
"MIN","00-0040506","M.Price",0,1,0,42,"Myles Price","Myles Price",0.0238095238095238,256
"TEN","00-0040705","C.Dike",1,1,0,45,"Chimere Dike","Chimere Dike",0.0222222222222222,257
"JAX","00-0040238","L.Allen",0,1,1,49,"LeQuint Allen Jr.","LeQuint Allen Jr.",0.0204081632653061,258
"JAX","00-0041503","N.Boerkircher",1,1,0,49,"Nate Boerkircher","Nate Boerkircher",0.0204081632653061,259
"JAX","00-0040718","T.Hunter",1,1,0,49,"Travis Hunter","Travis Hunter",0.0204081632653061,260
"ATL","00-0036429","C.Woerner",0,1,0,50,"Charlie Woerner","Charlie Woerner",0.02,261
"SEA","00-0040739","E.Arroyo",1,1,0,50,"Elijah Arroyo","Elijah Arroyo",0.02,262
"SEA","00-0038797","E.Wilson",0,1,1,50,"Emanuel Wilson","Emanuel Wilson",0.02,263
"SEA","00-0033576","E.Saubert",1,1,1,50,"Eric Saubert","Eric Saubert",0.02,264
"MIA","00-0038824","R.Miller",1,1,0,50,"Ryan Miller","Ryan Miller",0.02,265
"NE","00-0040563","E.Chism",1,1,0,52,"Efton Chism III","Efton Chism III",0.0192307692307692,266
"CLE","00-0040782","I.Bond",1,1,0,52,"Isaiah Bond","Isaiah Bond",0.0192307692307692,267
"CLE","00-0038794","J.McLaughlin",0,1,0,52,"Jaleel McLaughlin","Jaleel McLaughlin",0.0192307692307692,268
